                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9527,                 1.6577,                 1.6392,                0.53278,                0.59928,                0.52989,                0.21638,                 1.9287,                 1.7004,                 1.7425,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.979,                 1.6639,                 1.6648,                0.57518,                0.52527,                0.54236,                0.22019,                 1.9281,                 1.7899,                 1.7234,               0.001307,               0.001307,               0.001307
                     37,                 1.9418,                 1.6455,                 1.6038,                0.57725,                0.60289,                0.57569,                0.23786,                 1.9113,                 1.5925,                 1.7063,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.9314,                 1.6036,                 1.6193,                0.56386,                0.58342,                 0.5606,                0.24637,                 1.8886,                 1.6139,                 1.6923,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.9354,                 1.6225,                 1.6358,                0.58212,                0.59567,                0.56388,                0.22898,                 1.9332,                 1.6386,                 1.7413,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.9122,                 1.5795,                 1.6091,                0.61339,                 0.6083,                0.58972,                0.24288,                  1.896,                 1.6248,                 1.6939,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.9479,                 1.6143,                  1.631,                0.58526,                 0.5704,                0.54287,                0.22786,                 1.9573,                 1.6376,                 1.7765,               0.001208,               0.001208,               0.001208
                     42,                 1.8901,                 1.5571,                 1.6161,                 0.6122,                0.56991,                0.58782,                0.25248,                 1.9573,                 1.5576,                 1.7404,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9232,                  1.524,                 1.5845,                0.62436,                0.60303,                0.58496,                0.24986,                 1.9491,                 1.5027,                 1.7379,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.872,                 1.5428,                 1.5913,                 0.5964,                0.55957,                0.53869,                0.22202,                 1.9533,                 1.5731,                  1.743,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.859,                 1.5592,                 1.5715,                0.67215,                0.61913,                0.62739,                0.26215,                 1.9351,                 1.5583,                 1.7324,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8799,                 1.5188,                 1.5808,                0.62196,                0.59747,                 0.5881,                0.25881,                 1.9175,                  1.483,                 1.6943,               0.001109,               0.001109,               0.001109
                     47,                 1.8761,                 1.5817,                 1.5816,                0.55123,                0.56095,                0.53429,                0.23381,                 1.9193,                 1.5952,                 1.7181,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8449,                  1.489,                 1.5636,                0.61902,                0.61591,                 0.6072,                0.26118,                 1.9324,                 1.5455,                  1.721,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8524,                 1.4871,                 1.5681,                0.63196,                0.62996,                0.62734,                0.26337,                 1.9226,                 1.5639,                 1.7335,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.847,                 1.4928,                 1.5565,                0.63842,                0.61191,                0.60573,                0.25218,                 1.9721,                 1.5183,                 1.7981,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8339,                 1.4484,                 1.5658,                0.66173,                0.61191,                 0.6228,                0.26339,                 1.9108,                 1.5149,                 1.6919,                0.00101,                0.00101,                0.00101
                     52,                  1.784,                 1.4083,                 1.5384,                0.60261,                0.58302,                0.58195,                0.24937,                  1.907,                 1.6385,                 1.7133,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8097,                 1.4492,                 1.5551,                0.61749,                0.60901,                0.59068,                0.26374,                 1.9476,                 1.5138,                 1.7406,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.8153,                 1.4435,                 1.5482,                 0.6754,                0.60843,                0.64088,                0.27244,                 1.9507,                 1.4584,                 1.7372,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.8301,                 1.4389,                 1.5308,                0.61063,                0.59206,                0.62203,                0.26953,                 1.9498,                 1.4723,                  1.712,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.8167,                 1.4313,                 1.5444,                0.67286,                0.59567,                0.61384,                 0.2591,                 1.9558,                 1.5612,                 1.7732,               0.000911,               0.000911,               0.000911
